RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
Unknown, Unknown, Unknown, N/A, N/A, 55.0, 201455, 55.0, 48579, 0.5, 55.0, 177632, 2.0, 55.0, 192570
Unknown, Unknown, Unknown, N/A, N/A, 0.0, 4427, 0.0, 68396, 0.5, 0.0, 3644, 2.0, 0.0, 3222
Unknown, Unknown, Unknown, N/A, N/A, 22.0, 11173, 15.0, 16865, 0.5, 15.0, 88394, 2.0, 15.0, 92219
0.2, 0.2, 10, 74.0, 9033595124, 74.0, 31141, 74.0, 38008, 0.5, 74.0, 294398, 2.0, 74.0, 123993
0.2, 0.2, 100, N/A, N/A, 5565.0, 975655, 1962.0, 24003104, 0.5, 1962.0, 157257961, 2.0, 1993.0, 130700745
0.2, 0.2, 15, N/A, N/A, 60.0, 16594, 60.0, 21624, 0.5, 60.0, 137245, 2.0, 60.0, 131252
0.2, 0.2, 2, 110.0, 104809, 110.0, 9667, 110.0, 6144, 0.5, 110.0, 18311, 2.0, 110.0, 12769
0.2, 0.2, 20, N/A, N/A, 528.0, 16654, 236.0, 27436, 0.5, 243.0, 252083, 2.0, 249.0, 270274
0.2, 0.2, 25, N/A, N/A, 322.0, 28671, 322.0, 60957, 0.5, 322.0, 558920, 2.0, 322.0, 543048
0.2, 0.2, 30, N/A, N/A, 504.0, 32587, 339.0, 173807, 0.5, 339.0, 2121142, 2.0, 339.0, 1430940
0.2, 0.2, 35, N/A, N/A, 636.0, 42164, 434.0, 318401, 0.5, 434.0, 3079661, 2.0, 434.0, 2970906
0.2, 0.2, 40, N/A, N/A, 542.0, 61801, 433.0, 312769, 0.5, 433.0, 2124847, 2.0, 433.0, 2140176
0.2, 0.2, 45, N/A, N/A, 877.0, 91135, 653.0, 84810, 0.5, 653.0, 802238, 2.0, 653.0, 811033
0.2, 0.2, 5, 44.0, 1822106, 44.0, 1054, 44.0, 2800, 0.5, 44.0, 15389, 2.0, 44.0, 7107
0.2, 0.2, 50, N/A, N/A, 846.0, 117277, 599.0, 747756, 0.5, 599.0, 15003705, 2.0, 604.0, 6994117
0.2, 0.2, 55, N/A, N/A, 1040.0, 179982, 625.0, 373185, 0.5, 625.0, 3502058, 2.0, 625.0, 3528140
0.2, 0.2, 60, N/A, N/A, 1079.0, 209045, 865.0, 2492159, 0.5, 865.0, 31393206, 2.0, 873.0, 30706829
0.2, 0.2, 65, N/A, N/A, 1424.0, 245397, 1068.0, 3089780, 0.5, 1068.0, 31675467, 2.0, 1068.0, 31543492
0.2, 0.2, 70, N/A, N/A, 1329.0, 296506, 1086.0, 2440387, 0.5, 1086.0, 24785345, 2.0, 1086.0, 22188587
0.2, 0.2, 75, N/A, N/A, 2073.0, 350838, 1252.0, 254040, 0.5, 1252.0, 2626393, 2.0, 1252.0, 2543058
0.2, 0.2, 8, 755.0, 34300475, 859.0, 6144, 755.0, 3825, 0.5, 765.0, 28852, 2.0, 786.0, 36622
0.2, 0.2, 80, N/A, N/A, 2995.0, 446100, 1770.0, 11812309, 0.5, 1770.0, 121912079, 2.0, 1770.0, 126016637
0.2, 0.2, 85, N/A, N/A, 3319.0, 531663, 1778.0, 10223583, 0.5, 1778.0, 100555215, 2.0, 1808.0, 103998936
0.2, 0.2, 90, N/A, N/A, 3178.0, 630569, 1951.0, 15405412, 0.5, 1954.0, 154473722, 2.0, 1956.0, 161997486
0.2, 0.2, 95, N/A, N/A, 2802.0, 719626, 1830.0, 938972, 0.5, 1830.0, 9316053, 2.0, 1830.0, 10342456
0.2, 0.4, 10, 216.0, 6460951357, 484.0, 1957, 216.0, 10059, 0.5, 216.0, 66409, 2.0, 216.0, 65505
0.2, 0.4, 100, N/A, N/A, 36048.0, 834584, 16129.0, 683598904, 0.5, 16130.0, 5989170363, 2.0, 16235.0, 5874538547
0.2, 0.4, 15, N/A, N/A, 841.0, 4879, 654.0, 12830, 0.5, 654.0, 100562, 2.0, 677.0, 93695
0.2, 0.4, 20, N/A, N/A, 2294.0, 7860, 1066.0, 29515, 0.5, 1067.0, 286537, 2.0, 1183.0, 279008
0.2, 0.4, 25, N/A, N/A, 1808.0, 14125, 1148.0, 45296, 0.5, 1148.0, 360656, 2.0, 1170.0, 385081
0.2, 0.4, 30, N/A, N/A, 2536.0, 23642, 1183.0, 262805, 0.5, 1183.0, 2540347, 2.0, 1209.0, 2188364
0.2, 0.4, 35, N/A, N/A, 4093.0, 37677, 2698.0, 240849, 0.5, 2701.0, 2496135, 2.0, 2721.0, 2677502
0.2, 0.4, 40, N/A, N/A, 5818.0, 60355, 3475.0, 512659, 0.5, 3475.0, 4802229, 2.0, 3481.0, 5224204
0.2, 0.4, 45, N/A, N/A, 5629.0, 88485, 3860.0, 7050678, 0.5, 3863.0, 24651985, 2.0, 3864.0, 27543984
0.2, 0.4, 5, 198.0, 84027, 203.0, 3463, 198.0, 1837, 0.5, 203.0, 8794, 2.0, 203.0, 8312
0.2, 0.4, 50, N/A, N/A, 7145.0, 114898, 4986.0, 2243781, 0.5, 4986.0, 24733483, 2.0, 4986.0, 22743983
0.2, 0.4, 55, N/A, N/A, 10467.0, 152303, 6295.0, 2855014, 0.5, 6298.0, 34108657, 2.0, 6310.0, 34684864
0.2, 0.4, 60, N/A, N/A, 10792.0, 191878, 7098.0, 13572433, 0.5, 7098.0, 159691754, 2.0, 7209.0, 156789725
0.2, 0.4, 65, N/A, N/A, 13323.0, 246240, 8743.0, 4628722, 0.5, 8743.0, 41990637, 2.0, 8750.0, 40295084
0.2, 0.4, 70, N/A, N/A, 18690.0, 315269, 9468.0, 43265630, 0.5, 9468.0, 462272338, 2.0, 9543.0, 423873689
0.2, 0.4, 75, N/A, N/A, 15153.0, 366891, 10596.0, 41883750, 0.5, 10596.0, 471909534, 2.0, 10600.0, 441757076
0.2, 0.4, 80, N/A, N/A, 23320.0, 432185, 13727.0, 41139729, 0.5, 13730.0, 424174774, 2.0, 13787.0, 390203301
0.2, 0.4, 85, N/A, N/A, 16975.0, 531030, 12413.0, 6805281, 0.5, 12413.0, 72174417, 2.0, 12486.0, 67035264
0.2, 0.4, 90, N/A, N/A, 25910.0, 636050, 13704.0, 25815302, 0.5, 13704.0, 258705648, 2.0, 13704.0, 264344088
0.2, 0.4, 95, N/A, N/A, 26061.0, 710471, 17333.0, 45670600, 0.5, 17336.0, 446549999, 2.0, 17347.0, 429600254
