RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
Unknown, Unknown, Unknown, N/A, N/A, , 0, 0.0, 6090, 0.1, , 60, 0.5, , 30, 1.0, , 60, 2.0, , 60
Unknown, Unknown, Unknown, N/A, N/A, , 12558, 0.0, 1170, 0.1, , 30, 0.5, , 60, 1.0, , 90, 2.0, , 0
Unknown, Unknown, Unknown, N/A, N/A, , 90, 15.0, 4860, 0.1, , 60, 0.5, , 60, 1.0, , 60, 2.0, , 30
0.2, 0.2, 10, N/A, N/A, , 90, 74.0, 3108, 0.1, , 90, 0.5, , 60, 1.0, , 60, 2.0, , 60
0.2, 0.2, 100, N/A, N/A, , 0, 1962.0, 18285, 0.1, , 60, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.2, 15, N/A, N/A, , 30, 60.0, 910, 0.1, , 60, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.2, 2, N/A, N/A, , 60, 110.0, 639, 0.1, , 30, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.2, 20, N/A, N/A, , 30, 236.0, 1016, 0.1, , 60, 0.5, , 60, 1.0, , 60, 2.0, , 30
0.2, 0.2, 25, N/A, N/A, , 30, 322.0, 1053, 0.1, , 30, 0.5, , 60, 1.0, , 60, 2.0, , 60
0.2, 0.2, 30, N/A, N/A, , 60, 339.0, 1085, 0.1, , 90, 0.5, , 30, 1.0, , 60, 2.0, , 0
0.2, 0.2, 35, N/A, N/A, , 30, 434.0, 1847, 0.1, , 90, 0.5, , 60, 1.0, , 60, 2.0, , 60
0.2, 0.2, 40, N/A, N/A, , 60, 433.0, 978, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.2, 45, N/A, N/A, , 0, 653.0, 859, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.2, 5, N/A, N/A, , 60, 44.0, 484, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.2, 0.2, 50, N/A, N/A, , 60, 599.0, 1150, 0.1, , 30, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.2, 55, N/A, N/A, , 90, 625.0, 1067, 0.1, , 60, 0.5, , 60, 1.0, , 60, 2.0, , 30
0.2, 0.2, 60, N/A, N/A, , 30, 865.0, 1735, 0.1, , 90, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.2, 65, N/A, N/A, , 30, 1068.0, 1501, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.2, 70, N/A, N/A, , 30, 1086.0, 1424, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.2, 75, N/A, N/A, , 30, 1252.0, 1008, 0.1, , 60, 0.5, , 90, 1.0, , 60, 2.0, , 0
0.2, 0.2, 8, N/A, N/A, , 60, 755.0, 465, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.2, 80, N/A, N/A, , 30, 1770.0, 5105, 0.1, , 30, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.2, 85, N/A, N/A, , 60, 1778.0, 5151, 0.1, , 0, 0.5, , 30, 1.0, , 60, 2.0, , 60
0.2, 0.2, 90, N/A, N/A, , 30, 1951.0, 3291, 0.1, , 30, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.2, 95, N/A, N/A, , 30, 1830.0, 1482, 0.1, , 60, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.4, 10, N/A, N/A, , 60, 216.0, 472, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.4, 100, N/A, N/A, , 30, 16129.0, 133613, 0.1, , 60, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.4, 15, N/A, N/A, , 30, 654.0, 355, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.4, 20, N/A, N/A, , 30, 1066.0, 436, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.4, 25, N/A, N/A, , 60, 1148.0, 544, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.4, 30, N/A, N/A, , 90, 1183.0, 683, 0.1, , 90, 0.5, , 60, 1.0, , 30, 2.0, , 60
